"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"
"CHEMBL1231107"	"CYROMAZINE"	"-1.0"	"166.19"	"0"	"-0.39"	"CYROMAZINE"	"Nc1nc(N)nc(NC2CC2)n1"	"IC50"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
"CHEMBL134"	"CLONIDINE"	"4.0"	"230.10"	"0"	"2.36"	"CLONIDINE"	"Clc1cccc(Cl)c1NC1=NCCN1"	"Ki"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
"CHEMBL504"	"DIMETHYL SULFOXIDE"	"4.0"	"78.14"	"0"	"-0.01"	"DIMETHYL SULFOXIDE"	"C[S+](C)[O-]"	"IC50"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
"CHEMBL282575"	"ESTRADIOL BENZOATE"	"4.0"	"376.50"	"1"	"5.12"	"BETA-ESTRADIOL 3-BENZOATE"	"C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O"	"Ki"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
"CHEMBL1712923"	"IRSOGLADINE MALEATE"	"1.0"	"372.17"	"0"	"2.01"	"IRSOGLADINE MALEATE"	"Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1.O=C(O)/C=C\C(=O)O"	"IC50"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
"CHEMBL585"	"TRIAMTERENE"	"4.0"	"253.27"	"0"	"0.83"	"TRIAMTERENE"	"Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1"	"Ki"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
"CHEMBL159951"	""	"None"	"467.56"	"1"	"5.44"	"2f"	"CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C1CCCCC1.[Na+]"	"IC50"	"'='"	"0.018"	"nM"	"10.74"	""	""	"UO_0000065"	"24.11"	"0.46"	"5.30"	"12.99"	"0"	"CHEMBL692725"	"Inhibition of cellular HMG-CoA reductase in cultures of hepatic cells (HEP G2, a human hepatoma cell line)"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1124968"	"1"	"Scientific Literature"	"J Med Chem"	"1990"	"None"	""	""
"CHEMBL107753"	""	"None"	"305.42"	"0"	"3.30"	"8s"	"Cc1ccc(C2CCCCC2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1"	"Relative potency"	"'='"	"0.5"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL687158"	"Ratio of inhibitory activity of compound against HMG-CoA reductase to that of compactin"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1124935"	"1"	"Scientific Literature"	"J Med Chem"	"1990"	"None"	""	""
"CHEMBL398440"	"CHLOROXYLENOL"	"4.0"	"156.61"	"0"	"2.66"	"CHLOROXYLENOL"	"Cc1cc(O)cc(C)c1Cl"	"IC50"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
"CHEMBL150840"	""	"None"	"426.69"	"1"	"8.91"	"4w"	"CCCCC/C=C\C/C=C\CCCCCCCC1(C)CCc2cc(O)c(C)c(C)c2O1"	"Inhibition"	""	""	"%"	""	""	"Not Determined"	"UO_0000187"	""	""	""	""	"0"	"CHEMBL692730"	"In vitro suppression of HMG-CoA reductase (HMGR) in Hep G2 cells; Not determined"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1127811"	"1"	"Scientific Literature"	"J Med Chem"	"1994"	"CHEMBL3307718"	""	""
"CHEMBL1064"	"SIMVASTATIN"	"4.0"	"418.57"	"0"	"4.59"	"Simvastatin"	"CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21"	"Ki"	"'='"	"2.6"	"nM"	"8.59"	""	""	"UO_0000065"	"20.51"	"0.39"	"4.00"	"11.79"	"0"	"CHEMBL839925"	"Inhibitory constant against HMG-CoA reductase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141986"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"None"	""	""
"CHEMBL149639"	""	"None"	"408.58"	"1"	"7.47"	"20"	"CC(C)=CCC/C(C)=C/CC/C(C)=C/CCc1cc(=O)c2cc(O)c(C)c(C)c2o1"	"Inhibition"	""	""	"%"	""	""	"Not Determined"	"UO_0000187"	""	""	""	""	"0"	"CHEMBL692730"	"In vitro suppression of HMG-CoA reductase (HMGR) in Hep G2 cells; Not determined"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1127811"	"1"	"Scientific Literature"	"J Med Chem"	"1994"	"CHEMBL3307718"	""	""
"CHEMBL1163189"	""	"None"	"254.28"	"0"	"1.91"	"5b"	"CCCc1cc(OC)c(OCC(=O)OC)cc1O"	"IC50"	"'='"	"39.81"	"nM"	"7.40"	""	""	"UO_0000065"	"29.10"	"0.56"	"5.49"	"11.39"	"0"	"CHEMBL3390813"	"Inhibition of human HMG-CoA reductase after 30 mins"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3351651"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2014"	"None"	""	""
"CHEMBL306802"	""	"None"	"322.53"	"1"	"5.23"	"6"	"CC(C)(O)CCCC[C@H]1CC[C@@H](/C=C/[C@]2(C)CC[C@@H](O)CC2)C1"	"Inhibition"	"'='"	"0.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL692734"	"Tested for the percent inhibition against HMG-CoA reductase transcription in HepG2 cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1127754"	"1"	"Scientific Literature"	"J Med Chem"	"1994"	"CHEMBL3307718"	""	""
"CHEMBL99838"	""	"None"	"476.59"	"1"	"5.57"	"11aa"	"CC(C)c1cc(-c2ccccc2)cc(CC2CCCCC2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+]"	"IC50"	"'='"	"100.0"	"nM"	"7.00"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL692247"	"Inhibition of the incorporation of sodium [14C]acetate into cholesterol in HEP G2 cells."	"F"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125911"	"1"	"Scientific Literature"	"J Med Chem"	"1991"	"CHEMBL3307718"	""	""
"CHEMBL105654"	""	"None"	"315.37"	"0"	"2.63"	"8n"	"Cc1ccc(-c2cccc(O)c2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1"	"Relative potency"	"'='"	"1.4"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL687158"	"Ratio of inhibitory activity of compound against HMG-CoA reductase to that of compactin"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1124935"	"1"	"Scientific Literature"	"J Med Chem"	"1990"	"None"	""	""
"CHEMBL329307"	""	"None"	"492.49"	"1"	"5.39"	"11hh"	"CC(C)c1cc(-c2ccc(F)cc2)cc(-c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+]"	"IC50"	"'='"	"55.0"	"nM"	"7.26"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL692247"	"Inhibition of the incorporation of sodium [14C]acetate into cholesterol in HEP G2 cells."	"F"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125911"	"1"	"Scientific Literature"	"J Med Chem"	"1991"	"CHEMBL3307718"	""	""
"CHEMBL329307"	""	"None"	"492.49"	"1"	"5.39"	"11hh"	"CC(C)c1cc(-c2ccc(F)cc2)cc(-c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+]"	"Relative potency"	"'='"	"90.0"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL692248"	"Inhibition of HMG-CoA reductase compared to mevinolin."	"F"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125911"	"1"	"Scientific Literature"	"J Med Chem"	"1991"	"None"	""	""
"CHEMBL103139"	""	"None"	"421.40"	"0"	"3.31"	"11mm"	"Cc1c(OCC(O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)nc2ccccc12.[Na+]"	"IC50"	"'>'"	"5000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL692247"	"Inhibition of the incorporation of sodium [14C]acetate into cholesterol in HEP G2 cells."	"F"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125911"	"1"	"Scientific Literature"	"J Med Chem"	"1991"	"CHEMBL3307718"	""	""
"CHEMBL2368202"	""	"None"	"449.50"	"1"	"5.90"	"2j"	"CC(C)c1nc(-c2ccc(F)cc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1"	"Relative potency"	"'='"	"6.67"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL690063"	"Relative inhibition of HMG-CoA reductase compared to Mevinolin."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125087"	"1"	"Scientific Literature"	"J Med Chem"	"1990"	"None"	""	""
"CHEMBL150031"	""	"None"	"428.70"	"1"	"9.13"	"4y"	"CCCCCCCC/C=C/CCCCCCCC1(C)CCc2cc(O)c(C)c(C)c2O1"	"Inhibition"	""	""	"%"	""	""	"Not Determined"	"UO_0000187"	""	""	""	""	"0"	"CHEMBL692730"	"In vitro suppression of HMG-CoA reductase (HMGR) in Hep G2 cells; Not determined"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1127811"	"1"	"Scientific Literature"	"J Med Chem"	"1994"	"CHEMBL3307718"	""	""
"CHEMBL1163146"	""	"None"	"686.74"	"2"	"-0.38"	"FGF(4-fluro)VAE"	"CC(C)[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)CNC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O"	"IC50"	"'='"	"8520.0"	"nM"	"5.07"	""	""	"UO_0000065"	"7.38"	"0.14"	"5.45"	"2.06"	"0"	"CHEMBL1166355"	"Inhibition of HMG-CoA reductase by spectrophotometry"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1165979"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2010"	"None"	""	""
"CHEMBL608986"	""	"None"	"603.74"	"2"	"7.65"	"1q"	"COc1cccc(Sc2cc3nc(C4CC4)c(/C=C/[C@@H]4C[C@@H](O)CC(=O)O4)c(Sc4cccc(OC)c4)c3cc2F)c1"	"IC50"	"'='"	"7100.0"	"nM"	"5.15"	""	""	"UO_0000065"	"8.53"	"0.17"	"-2.50"	"6.61"	"0"	"CHEMBL1072709"	"Inhibition of HMG CoA reductase by spectrophotometry"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1153084"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2009"	"None"	""	""
"CHEMBL1237061"	"PITAVASTATIN CALCIUM"	"4.0"	"881.00"	"0"	"4.52"	"pitavastatin calcium"	"O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2]"	"IC50"	"'='"	"8900.0"	"nM"	"5.05"	""	""	"UO_0000065"	"11.98"	"0.22"	"0.53"	"5.57"	"0"	"CHEMBL1072709"	"Inhibition of HMG CoA reductase by spectrophotometry"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1153084"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2009"	"None"	""	""
"CHEMBL503"	"LOVASTATIN"	"4.0"	"404.55"	"0"	"4.20"	"1b (Mevinolin)"	"CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21"	"IC50"	"'='"	"50.0"	"nM"	"7.30"	""	""	"UO_0000065"	"18.05"	"0.34"	"3.10"	"10.02"	"1"	"CHEMBL692726"	"Inhibition of cellular HMG-CoA reductase in cultures of human HEP G2 cells, determined by decreased incorporation of sodium [14C]acetate into cholesterol."	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125087"	"1"	"Scientific Literature"	"J Med Chem"	"1990"	"CHEMBL3307718"	""	""
